ID,Year,CC,Mileage,Price
227,2002,1598,110500,2450
228,2003,1598,80500,3450
229,2004,1598,90500,2695
230,2006,1598,90500,3699
231,2011,1598,70500,11500
232,2009,1600,60500,6000
233,2007,1397,140500,3150
234,2007,1598,50500,5995
235,2004,1598,70500,3499
236,2006,1598,40500,3195
237,2003,1598,10500,2100
238,2006,1598,90500,4500
239,2002,1598,100500,2395
240,2010,1598,30500,11995
241,2002,1598,90500,2000
242,2002,1598,160500,2095
243,2005,1598,120500,2495
244,2006,1598,100500,3495
245,2007,1598,70500,5499
246,2007,0,80500,4699
247,2006,1598,60500,4950
248,2010,1560,50500,7300
249,2002,1598,90500,2650
250,2001,1598,140500,1980
251,2007,1598,90500,4495
252,2007,1598,110500,4150
253,2007,1600,70500,5169
254,2007,1598,110500,4100
255,2004,1598,110500,3200
256,2004,1598,90500,2950
257,2005,1598,90500,4495
258,2003,1598,90500,2995
259,2013,1598,50500,11495
260,2011,1995,50500,9250
261,2010,1598,90500,5850
262,2007,1397,90500,4495
263,2009,1560,70500,6900
264,2008,1600,80500,4995
265,2012,1995,20500,13500
266,2009,1598,50500,5800
267,2003,1598,100500,3000
268,2004,1598,110500,3695
269,2012,1598,20500,11250
270,1980,998,50500,2850
271,2013,1600,30500,8200
272,2005,1364,90500,3695
273,2001,1598,120500,2350
274,2005,1598,90500,5300
275,2002,1598,150500,2800
276,2006,1600,90500,4250
277,2010,1560,40500,8250
278,2005,1598,40500,5150
279,2007,1560,90500,4690
280,2010,1598,60500,9999
281,2002,1598,130500,2100
282,2003,1598,110500,2750
283,2008,1397,90500,5295
284,2002,1598,60500,3390
285,2009,1560,90500,5999
286,2004,1589,100500,3500
287,2004,1598,90500,3195
288,2006,1598,80500,2600
289,2002,1598,100500,2900
290,2003,1598,90500,2750
291,2003,1598,80500,2850
292,2003,1598,80500,2850
293,2008,1397,60500,5995
294,2005,1598,100500,4150
295,2002,1600,70500,3495
296,2004,1598,80500,4395
297,2002,1598,110500,1800
298,2006,1598,70500,3200
299,2011,1598,20500,7999
300,2009,1560,80500,5990
301,2006,1598,50500,6995
302,2002,1598,110500,2695
303,2004,1598,110500,3595
304,2005,1598,80500,3995
305,2012,1600,30500,12440
306,2008,1598,70500,5199
307,2010,1600,30500,9988
308,2003,1598,70500,3295
309,2002,1598,100500,2850
310,2002,1598,70500,2375
311,2004,1598,80500,3995
312,2009,1398,90500,4499
313,2007,1598,80500,4795
314,2005,1598,90500,4250
315,2005,1598,90500,4395
316,2005,1600,110500,2590
317,2009,1598,90500,5995
318,1989,998,50500,2800
319,2005,1598,80500,3895
320,2011,1600,500,8950
321,2005,1598,60500,4495
322,2006,1598,90500,2695
323,2007,1600,30500,6990
324,2004,1598,100500,3995
325,2012,1598,20500,6800
326,2007,1598,80500,1099
327,2003,1598,90500,3695
328,2011,1598,30500,1099
329,2005,1598,30500,5995
330,2002,1598,200500,2700
331,2008,1397,90500,1099
332,2006,0,140500,3200
333,2009,1560,80500,5650
334,2004,1598,120500,3295
