ID,Year,CC,Mileage,Price
995,2011,1560,50500,10995
996,2009,1560,40500,6995
997,2003,1598,90500,2850
998,2015,1499,500,16000
999,2009,1598,90500,6199
1000,2009,1600,40500,7990
1001,2005,1598,60500,2495
1002,2003,1598,60500,1695
1003,2007,1598,90500,4990
1004,2009,1560,20500,7300
1005,2006,1598,70500,2995
1006,2004,1598,80500,2950
1007,2005,1598,110500,2995
1008,2006,1598,90500,2950
1009,2011,1598,70500,8000
1010,2004,1598,110500,3350
1011,2001,1598,120500,3195
1012,2006,1598,100500,3985
1013,2005,1598,100500,3700
1014,2005,1600,140500,3250
1015,2003,1600,100500,3000
1016,2004,1598,80500,2800
1017,2014,1995,20500,15000
1018,2003,1598,70500,3999
1019,2006,1598,100500,3550
1020,2002,1598,130500,2195
1021,2007,1598,90500,3550
1022,2011,1600,40500,12000
1023,2003,1598,100500,3594
1024,2007,1598,70500,6800
1025,2002,1598,90500,2795
1026,2008,1397,70500,4000
1027,2006,1600,50500,4100
1028,2010,1598,10500,7900
1029,2016,1,10500,31990
1030,2004,1598,100500,2650
1031,2003,1598,60500,3600
1032,2010,1598,60500,5995
1033,2014,1598,20500,9970
1034,2001,1598,90500,2450
1035,2003,1598,60500,3500
1036,2012,1598,20500,12495
1037,2005,1598,110500,2750
1038,2011,1600,80500,8995
1039,2009,1560,50500,8995
1040,2012,1598,20500,8740
1041,2013,1598,30500,9740
1042,2005,1598,10500,5690
1043,2005,1598,80500,4470
1044,2007,1598,100500,4500
1045,2012,1598,30500,9960
1046,2001,1598,90500,2495
1047,2008,1560,70500,5989
1048,2009,1598,90500,6546
1049,2014,1198,10500,11770
1050,2013,1598,30500,7970
1051,2010,1560,130500,4900
1052,2007,1397,60500,6990
1053,2013,1598,80500,9766
1054,2013,1995,40500,11000
1055,2011,1995,100500,6949
1056,2010,1598,30500,7500
1057,2006,1598,70500,5190
1058,2013,1598,10500,8990
1059,2011,1598,60500,7970
1060,2012,2000,60500,9990
1061,2010,1598,60500,6995
1062,2011,1598,30500,10990
1063,2012,1598,30500,8999
1064,2009,1560,90500,6296
1065,2012,1598,60500,7990
1066,2013,1598,10500,13750
1067,2007,1598,80500,4849
1068,2013,1598,60500,8500
1069,2003,1364,130500,3000
1070,2006,1598,140500,3795
1071,2002,1598,100500,2750
1072,2011,1598,50500,9800
1073,2007,1598,90500,4400
1074,2006,1598,60500,5696
1075,2012,1598,40500,8000
1076,2006,1598,70500,4790
1077,2005,1598,80500,6100
1078,2009,1397,60500,4200
1079,2012,1598,20500,8350
1080,2005,1598,80500,3500
1081,2008,1598,60500,8000
1082,2005,1598,80500,4696
1083,2009,1397,60500,6995
1084,2006,1598,60500,6495
1085,2007,1560,70500,5996
1086,2009,1598,80500,5796
1087,2007,1598,30500,6000
1088,2015,1496,10500,15395
1089,2005,1598,120500,2600
1090,2009,1397,20500,5550
1091,2004,1598,70500,5990
1092,2006,1598,80500,2850
1093,2003,1598,90500,2800
1094,2007,1560,100500,6200
1095,2004,1598,80500,5250
1096,2004,1598,70500,3195
1097,2007,1598,100500,4500
1098,2004,1598,90500,2550
1099,2007,1598,90500,3950
1100,2007,1598,100500,4600
1101,2007,1397,70500,4750
1102,2011,1598,40500,5750
1103,2006,1598,80500,4996
1104,2006,1598,100500,3985
1105,2002,1598,110500,3495
1106,2002,1598,110500,2599
1107,2004,1598,80500,3995
1108,2006,1598,60500,5995
1109,2013,1995,20500,14995
1110,2012,1598,30500,8750
1111,2007,1598,80500,5200
1112,2004,1600,100500,3300
1113,2004,1598,120500,3500
1114,2008,1598,70500,6950
1115,2006,1598,60500,5995
1116,2007,1598,80500,5695
1117,2007,1598,70500,4250
1118,2009,1598,100500,6999
1119,2005,1598,70500,3500
1120,2007,1598,130500,3200
1121,2007,1397,30500,4400
1122,2007,1598,70500,4800
1123,2001,1598,100500,1950
1124,2005,1598,110500,3195
1125,2002,1598,60500,2650
1126,2008,1397,50500,5350
1127,2002,1595,150500,2000
1128,2010,1598,70500,7785
1129,2002,1600,130500,2250
1130,2006,1598,60500,4595
1131,2004,1598,80500,4100
1132,2009,1560,160500,4350
1133,2004,1600,120500,2590
1134,2012,1600,30500,8995
1135,2002,1598,110500,2295
1136,2005,1598,70500,4400
1137,2004,1598,110500,2800
1138,2004,1598,20500,2850
1139,2011,2000,30500,10995
1140,2008,1598,120500,5000
1141,2009,1598,60500,6289
1142,2005,1598,80500,2995
1143,2007,1600,60500,4495
1144,2004,1598,100500,2670
1145,2007,1598,100500,3700
1146,2004,1600,80500,3000
1147,2013,1995,30500,13990
1148,2006,1598,80500,3799
1149,2003,1598,100500,3350
1150,2011,1598,30500,8495
1151,2013,1598,40500,13000
1152,2015,1496,10500,15500
1153,2012,1995,60500,9941
1154,2002,1598,100500,2300
